id,work_id,item_name,category,quantity,unit,unit_price,total_amount,matched_ref_id,match_confidence,variance_pct,risk_level
27,14,RO Water Purifier Commercial,Movable Goods,3.0,Each,131750.0,395250.0,7,100.0,55.0,High
28,14,High Mast Light (12.5m),Civil Materials,3.0,Each,268250.0,804750.0,8,100.0,45.0,High
29,15,Steel (TMT Bar),Civil Materials,2.0,Metric Ton,60320.0,120640.0,3,100.0,4.0,Normal
30,15,Computer (Desktop),Movable Goods,6.0,Each,41650.0,249900.0,4,100.0,-2.0,Normal
31,16,Water Pump (5 HP),Movable Goods,14.0,Each,25920.0,362880.0,5,100.0,8.0,Normal
32,16,Solar Panel (300W),Movable Goods,9.0,Each,12928.0,116352.0,6,100.0,1.0,Normal
33,17,RO Water Purifier Commercial,Movable Goods,4.0,Each,95200.0,380800.0,7,100.0,12.0,Normal
34,17,High Mast Light (12.5m),Civil Materials,3.0,Each,192400.0,577200.0,8,100.0,4.0,Normal
35,18,LED Street Light (100W),Movable Goods,8.0,Each,17360.0,138880.0,1,100.0,55.0,High
36,18,Cement (Grade 53),Civil Materials,40.0,Bag (50kg),551.0,22040.0,2,100.0,45.0,High
37,19,Steel (TMT Bar),Civil Materials,3.0,Metric Ton,55680.0,167040.0,3,100.0,-4.0,Normal
38,19,Computer (Desktop),Movable Goods,9.0,Each,41650.0,374850.0,4,100.0,-2.0,Normal
39,20,Water Pump (5 HP),Movable Goods,14.0,Each,24000.0,336000.0,5,100.0,0.0,Normal
40,20,Solar Panel (300W),Movable Goods,12.0,Each,12928.0,155136.0,6,100.0,1.0,Normal
41,21,RO Water Purifier Commercial,Movable Goods,2.0,Each,88400.0,176800.0,7,100.0,4.0,Normal
42,21,High Mast Light (12.5m),Civil Materials,3.0,Each,192400.0,577200.0,8,100.0,4.0,Normal
43,22,LED Street Light (100W),Movable Goods,8.0,Each,17360.0,138880.0,1,100.0,55.0,High
44,22,Cement (Grade 53),Civil Materials,40.0,Bag (50kg),551.0,22040.0,2,100.0,45.0,High
45,23,Steel (TMT Bar),Civil Materials,4.0,Metric Ton,64960.0,259840.0,3,100.0,12.0,Moderate
46,23,Computer (Desktop),Movable Goods,12.0,Each,41650.0,499800.0,4,100.0,-2.0,Normal
47,24,Water Pump (5 HP),Movable Goods,14.0,Each,22080.0,309120.0,5,100.0,-8.0,Normal
48,24,Solar Panel (300W),Movable Goods,6.0,Each,12928.0,77568.0,6,100.0,1.0,Normal
49,25,RO Water Purifier Commercial,Movable Goods,3.0,Each,81600.0,244800.0,7,100.0,-4.0,Normal
50,25,High Mast Light (12.5m),Civil Materials,3.0,Each,192400.0,577200.0,8,100.0,4.0,Normal
51,26,LED Street Light (100W),Movable Goods,8.0,Each,17360.0,138880.0,1,100.0,55.0,High
52,26,Cement (Grade 53),Civil Materials,40.0,Bag (50kg),551.0,22040.0,2,100.0,45.0,High
53,27,Steel (TMT Bar),Civil Materials,2.0,Metric Ton,60320.0,120640.0,3,100.0,4.0,Normal
54,27,Computer (Desktop),Movable Goods,6.0,Each,41650.0,249900.0,4,100.0,-2.0,Normal
55,28,Water Pump (5 HP),Movable Goods,14.0,Each,25920.0,362880.0,5,100.0,8.0,Normal
56,28,Solar Panel (300W),Movable Goods,9.0,Each,12928.0,116352.0,6,100.0,1.0,Normal
57,29,RO Water Purifier Commercial,Movable Goods,4.0,Each,95200.0,380800.0,7,100.0,12.0,Normal
58,29,High Mast Light (12.5m),Civil Materials,3.0,Each,192400.0,577200.0,8,100.0,4.0,Normal
59,30,LED Street Light (100W),Movable Goods,8.0,Each,17360.0,138880.0,1,100.0,55.0,High
60,30,Cement (Grade 53),Civil Materials,40.0,Bag (50kg),551.0,22040.0,2,100.0,45.0,High
61,31,Steel (TMT Bar),Civil Materials,3.0,Metric Ton,55680.0,167040.0,3,100.0,-4.0,Normal
62,31,Computer (Desktop),Movable Goods,9.0,Each,41650.0,374850.0,4,100.0,-2.0,Normal
63,32,Water Pump (5 HP),Movable Goods,14.0,Each,24000.0,336000.0,5,100.0,0.0,Normal
64,32,Solar Panel (300W),Movable Goods,12.0,Each,12928.0,155136.0,6,100.0,1.0,Normal
65,33,RO Water Purifier Commercial,Movable Goods,2.0,Each,88400.0,176800.0,7,100.0,4.0,Normal
66,33,High Mast Light (12.5m),Civil Materials,3.0,Each,192400.0,577200.0,8,100.0,4.0,Normal
67,34,LED Street Light (100W),Movable Goods,8.0,Each,17360.0,138880.0,1,100.0,55.0,High
68,34,Cement (Grade 53),Civil Materials,40.0,Bag (50kg),551.0,22040.0,2,100.0,45.0,High
69,35,Steel (TMT Bar),Civil Materials,4.0,Metric Ton,64960.0,259840.0,3,100.0,12.0,Moderate
70,35,Computer (Desktop),Movable Goods,12.0,Each,41650.0,499800.0,4,100.0,-2.0,Normal
71,36,Water Pump (5 HP),Movable Goods,14.0,Each,22080.0,309120.0,5,100.0,-8.0,Normal
72,36,Solar Panel (300W),Movable Goods,6.0,Each,12928.0,77568.0,6,100.0,1.0,Normal
73,37,RO Water Purifier Commercial,Movable Goods,3.0,Each,81600.0,244800.0,7,100.0,-4.0,Normal
74,37,High Mast Light (12.5m),Civil Materials,3.0,Each,192400.0,577200.0,8,100.0,4.0,Normal
75,38,LED Street Light (100W),Movable Goods,8.0,Each,17360.0,138880.0,1,100.0,55.0,High
76,38,Cement (Grade 53),Civil Materials,40.0,Bag (50kg),551.0,22040.0,2,100.0,45.0,High
77,39,Steel (TMT Bar),Civil Materials,2.0,Metric Ton,60320.0,120640.0,3,100.0,4.0,Normal
78,39,Computer (Desktop),Movable Goods,6.0,Each,41650.0,249900.0,4,100.0,-2.0,Normal
79,40,Water Pump (5 HP),Movable Goods,14.0,Each,25920.0,362880.0,5,100.0,8.0,Normal
80,40,Solar Panel (300W),Movable Goods,9.0,Each,12928.0,116352.0,6,100.0,1.0,Normal
81,41,RO Water Purifier Commercial,Movable Goods,4.0,Each,95200.0,380800.0,7,100.0,12.0,Normal
82,41,High Mast Light (12.5m),Civil Materials,3.0,Each,192400.0,577200.0,8,100.0,4.0,Normal
83,42,LED Street Light (100W),Movable Goods,8.0,Each,17360.0,138880.0,1,100.0,55.0,High
84,42,Cement (Grade 53),Civil Materials,40.0,Bag (50kg),551.0,22040.0,2,100.0,45.0,High
85,43,Steel (TMT Bar),Civil Materials,3.0,Metric Ton,55680.0,167040.0,3,100.0,-4.0,Normal
86,43,Computer (Desktop),Movable Goods,9.0,Each,41650.0,374850.0,4,100.0,-2.0,Normal
87,44,Water Pump (5 HP),Movable Goods,14.0,Each,24000.0,336000.0,5,100.0,0.0,Normal
88,44,Solar Panel (300W),Movable Goods,12.0,Each,12928.0,155136.0,6,100.0,1.0,Normal
89,45,RO Water Purifier Commercial,Movable Goods,2.0,Each,88400.0,176800.0,7,100.0,4.0,Normal
90,45,High Mast Light (12.5m),Civil Materials,3.0,Each,192400.0,577200.0,8,100.0,4.0,Normal
91,46,LED Street Light (100W),Movable Goods,8.0,Each,17360.0,138880.0,1,100.0,55.0,High
92,46,Cement (Grade 53),Civil Materials,40.0,Bag (50kg),551.0,22040.0,2,100.0,45.0,High
93,47,Steel (TMT Bar),Civil Materials,4.0,Metric Ton,64960.0,259840.0,3,100.0,12.0,Moderate
94,47,Computer (Desktop),Movable Goods,12.0,Each,41650.0,499800.0,4,100.0,-2.0,Normal
95,48,Water Pump (5 HP),Movable Goods,14.0,Each,22080.0,309120.0,5,100.0,-8.0,Normal
96,48,Solar Panel (300W),Movable Goods,6.0,Each,12928.0,77568.0,6,100.0,1.0,Normal
97,49,RO Water Purifier Commercial,Movable Goods,3.0,Each,81600.0,244800.0,7,100.0,-4.0,Normal
98,49,High Mast Light (12.5m),Civil Materials,3.0,Each,192400.0,577200.0,8,100.0,4.0,Normal
99,50,LED Street Light (100W),Movable Goods,8.0,Each,17360.0,138880.0,1,100.0,55.0,High
100,50,Cement (Grade 53),Civil Materials,40.0,Bag (50kg),551.0,22040.0,2,100.0,45.0,High
101,51,Steel (TMT Bar),Civil Materials,2.0,Metric Ton,60320.0,120640.0,3,100.0,4.0,Normal
102,51,Computer (Desktop),Movable Goods,6.0,Each,41650.0,249900.0,4,100.0,-2.0,Normal
